db_path	table	column	row_count_hint
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_total_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_mac_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_scalar_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_mte1_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_mte2_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_fixpipe_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_total_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_vec_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mac_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_scalar_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mte1_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mte2_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mte3_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ge_summary	input_formats	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ge_summary	output_formats	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ge_summary	timestamp	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	task_time	start_time	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	task_time	duration_time	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	task_time	wait_time	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ascend_task.db	AscendTask	start_time	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ascend_task.db	AscendTask	duration	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aic_total_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aic_mac_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aic_scalar_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aic_mte1_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aic_mte2_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aic_fixpipe_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_total_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_vec_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mac_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_scalar_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mte1_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mte2_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mte3_time	128597
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	op_report	total_time	65
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	rts_task	start_time	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	rts_task	duration	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/step_trace.db	DeviceTaskFlip	timestamp	3
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/api_event.db	ApiData	start	707529
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/api_event.db	ApiData	end	707529
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/ge_info.db	TaskInfo	timestamp	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/ge_info.db	TaskInfo	input_formats	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/ge_info.db	TaskInfo	output_formats	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/rts_track.db	HostTaskFlip	timestamp	3
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/runtime.db	HostTask	timestamp	146935
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	AICORE_FREQ	timestampNs	33
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	CANN_API	startNs	707529
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	CANN_API	endNs	707529
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	COMPUTE_TASK_INFO	inputFormats	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	COMPUTE_TASK_INFO	inputShapes	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	COMPUTE_TASK_INFO	outputFormats	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	COMPUTE_TASK_INFO	outputShapes	129990
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	SESSION_TIME_INFO	startTimeNs	1
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	SESSION_TIME_INFO	endTimeNs	1
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	TASK	startNs	146937
/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	TASK	endNs	146937
